Location,Process Name,Client,Revenue Opportunity,RO W-1,RO W-2,RO W-3,Rev Ach W-1,Rev Ach W-2,Rev Ach W-3,Rev Loss W-1,Rev Loss W-2,Rev Loss W-3,Rev Loss Overall
ASR,Meesho Reverse,Meesho,1449000.0,327194.0,327194.0,327194.0,358041.0,341319.0,314649.0,0.0,0.0,12545.0,0.0
ASR,Meesho NCH,Meesho,124000.0,28000.0,28000.0,28000.0,28000.0,28000.0,28000.0,0.0,0.0,0.0,0.0
ASR,Meesho SS Chat,Meesho,6701450.0,1513231.0,1507301.0,1475078.0,1533570.0,1507301.0,1475078.0,0.0,0.0,0.0,0.0
ASR,Meesho Pre Claim,Meesho,4436500.0,1001790.0,1001790.0,1001790.0,1123777.0,1067037.0,1070072.0,0.0,0.0,0.0,0.0
ASR,Meesho CX Chat,Meesho,3726400.0,841445.0,841445.0,841445.0,897572.0,901439.0,901160.0,0.0,0.0,0.0,0.0
ASR,Meesho Ads Calling,Meesho,1060000.0,239355.0,239355.0,239355.0,268313.0,252810.0,263211.0,0.0,0.0,0.0,0.0
ASR,Swiggy RHI,Swiggy,1556932.0,351565.0,351565.0,351565.0,411712.0,426840.0,424947.0,0.0,0.0,0.0,0.0
ASR,Swiggy RM,Swiggy,433200.0,89661.0,97819.0,78592.0,89661.0,97819.0,78592.0,0.0,0.0,0.0,0.0
ASR,Swiggy Price Parity,Swiggy,112000.0,25290.0,25290.0,25290.0,29217.0,30435.0,29217.0,0.0,0.0,0.0,0.0
ASR,Swiggy PS Ads,Swiggy,192500.0,43468.0,43468.0,43468.0,52938.0,51333.0,52938.0,0.0,0.0,0.0,0.0
ASR,Swiggy Own Media,Swiggy,41391.0,23652.0,14783.0,2957.0,23652.0,14783.0,2957.0,0.0,0.0,0.0,0.0
ASR,Swiggy PAM Servicing,Swiggy,2551300.0,576100.0,576100.0,576100.0,674922.0,644832.0,624943.0,0.0,0.0,0.0,0.0
ASR,Swiggy PAM Sales,Swiggy,298800.0,67471.0,67471.0,67471.0,69828.0,67471.0,79572.0,0.0,0.0,0.0,0.0
ASR,Swiggy Catalouge,Swiggy,31500.0,7113.0,7113.0,7113.0,7113.0,7113.0,7113.0,0.0,0.0,0.0,0.0
ASR,Swiggy NPS,Swiggy,516375.0,119163.0,119163.0,119163.0,122679.0,122675.0,125085.0,0.0,0.0,0.0,0.0
ASR,Swiggy VAM,Swiggy,1844822.0,416573.0,416573.0,416573.0,444180.0,416573.0,426261.0,0.0,0.0,0.0,0.0
ASR,Swiggy Dineout VAM,Swiggy,532500.0,114989.0,120242.0,122868.0,114989.0,128880.0,130424.0,0.0,0.0,0.0,0.0
ASR,Airtel Wynk,Airtel Wynk,362158.0,81778.0,81778.0,81778.0,157399.0,98201.0,98483.0,0.0,0.0,0.0,0.0
ASR,Acko IB,Acko,2280000.0,514839.0,514839.0,409929.0,514839.0,514839.0,409929.0,0.0,0.0,0.0,0.0
ASR,One Plus,One Plus,264000.0,59613.0,59613.0,59613.0,68870.0,72696.0,73120.0,0.0,0.0,0.0,0.0
ASR,Cars24 OB,Cars 24,1987200.0,448723.0,448723.0,448723.0,470208.0,482554.0,472026.0,0.0,0.0,0.0,0.0
ASR,Cars24 IB,Cars 24,331200.0,74787.0,74787.0,74787.0,109289.0,99434.0,99077.0,0.0,0.0,0.0,0.0
ASR,Commodum,Commodum,6574000.0,1419600.0,1322994.0,1451654.0,1419600.0,1322994.0,1451654.0,0.0,0.0,0.0,0.0
ASR,Traya Health,Traya,205000.0,46290.0,46290.0,46290.0,46290.0,46290.0,46290.0,0.0,0.0,0.0,0.0
ASR,Zomato OB,Zomato,185000.0,42692.0,42692.0,42692.0,48261.0,47633.0,48261.0,0.0,0.0,0.0,0.0
ASR,Zomato Launchpad,Zomato,7021000.0,1620231.0,1620231.0,1620231.0,1590948.0,1504757.0,1556430.0,29283.0,115474.0,63801.0,208558.0
ASR,Zomato Onboarding,Zomato,1115100.0,229843.0,199317.0,199217.0,229843.0,199317.0,199217.0,0.0,0.0,0.0,0.0
ASR Total,,,45933329.0,10324456.0,10195936.0,10158936.0,10905710.0,10495375.0,10488706.0,29283.0,115474.0,76346.0,208558.0
GGN,Samsung OB,Samsung,3151140.0,711548.0,711548.0,711548.0,921075.0,880273.0,876169.0,0.0,0.0,0.0,0.0
GGN,Samsung IB,Samsung,713973.0,161220.0,161220.0,161220.0,267028.0,239342.0,228738.0,0.0,0.0,0.0,0.0
GGN,Samsung V Promoter,Samsung,1468192.0,331527.0,331527.0,331527.0,410571.0,333474.0,349645.0,0.0,0.0,0.0,0.0
GGN,Samsung LMS,Samsung,110092.0,24859.0,24859.0,24859.0,24859.0,30216.0,21720.0,0.0,0.0,3140.0,0.0
GGN,Cars24 UAE,Cars 24,3120937.0,704728.0,704728.0,704728.0,763391.0,703251.0,709078.0,0.0,1477.0,0.0,0.0
GGN,Spectra,Spectra,2197972.0,496316.0,496316.0,496316.0,584441.0,534882.0,523062.0,0.0,0.0,0.0,0.0
GGN,APB Social Media,APB,519000.0,91539.0,105364.0,95622.0,91539.0,105364.0,95622.0,0.0,0.0,0.0,0.0
GGN,APB Email,APB,1440000.0,325161.0,325161.0,325161.0,274270.0,317843.0,348047.0,50891.0,7319.0,0.0,35324.0
GGN,AirtelXSafe Phygital,Airtel X-Safe,199800.0,45116.0,45116.0,45116.0,75287.0,24613.0,36196.0,0.0,20503.0,8920.0,0.0
GGN,APB LEA CM WFO,APB,195000.0,42500.0,44032.0,44032.0,42500.0,45636.0,44032.0,0.0,0.0,0.0,0.0
GGN,APB LEA CM,APB,65000.0,14677.0,14677.0,14677.0,14677.0,14677.0,14677.0,0.0,0.0,0.0,0.0
GGN,APB GRO/PNO,APB,103800.0,21958.0,23439.0,23439.0,21958.0,33935.0,23090.0,0.0,0.0,348.0,0.0
GGN,Cloudnine,Cloudnine,340000.0,76774.0,76774.0,76774.0,76774.0,42766.0,40558.0,0.0,34008.0,36217.0,70224.0
GGN,Hafele Phygital,Hafele,400000.0,82609.0,86957.0,99833.0,82609.0,86957.0,167391.0,0.0,0.0,0.0,0.0
GGN,Hafele CS,Hafele,324081.0,74788.0,74788.0,74788.0,74788.0,74788.0,74788.0,0.0,0.0,0.0,0.0
GGN,Paytm QC,Paytm,464800.0,104955.0,104955.0,104955.0,104955.0,104955.0,104955.0,0.0,0.0,0.0,0.0
GGN,Savington,Savington,122100.0,23481.0,23481.0,23481.0,24166.0,25438.0,25438.0,0.0,0.0,0.0,0.0
GGN,Samsung Chat,Samsung,2300500.0,515425.0,459178.0,447748.0,515425.0,459178.0,447748.0,0.0,0.0,0.0,0.0
GGN,DMI Finance,DMI Finance,375000.0,84677.0,84677.0,84677.0,112779.0,84505.0,89899.0,0.0,172.0,0.0,0.0
GGN,Atomberg,Atomberg,255000.0,57581.0,57581.0,57581.0,73913.0,88696.0,77609.0,0.0,0.0,0.0,0.0
GGN,APB HNI,APB,4050000.0,914516.0,914516.0,914516.0,614312.0,643383.0,602226.0,300204.0,271133.0,312291.0,883628.0
GGN Total,,,21916387.0,4905955.0,4870895.0,4862599.0,5171317.0,4874171.0,4900687.0,351096.0,334611.0,360916.0,989177.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VDR,Airtel Bank,APB,8450190.0,1908107.0,1908107.0,1908107.0,1500451.0,1441275.0,1523468.0,407657.0,466833.0,384639.0,1259128.0
VDR,Airtel Bank Email,APB,3146176.0,710427.0,710427.0,710427.0,557359.0,609100.0,678329.0,153067.0,101327.0,32098.0,286492.0
VDR,APB QRT,APB,782425.0,165829.0,175881.0,180518.0,165829.0,175881.0,180518.0,0.0,0.0,0.0,0.0
VDR,APB OB_Upsell,APB,751128.0,169610.0,169610.0,169610.0,196173.0,213507.0,206046.0,0.0,0.0,0.0,0.0
VDR,Airtel L2 Desk,Airtel,43100.0,9732.0,9732.0,9732.0,9732.0,9732.0,9732.0,0.0,0.0,0.0,0.0
VDR,Acko IB,Acko,658500.0,148694.0,148694.0,148694.0,21971.0,31747.0,32864.0,126723.0,116946.0,115830.0,359498.0
VDR,Swiggy OM,Swiggy,3843233.0,867827.0,867827.0,867827.0,823434.0,673065.0,731262.0,44393.0,194762.0,136565.0,375720.0
VDR,Swiggy SNO,Swiggy,3135000.0,669485.0,681228.0,657463.0,669485.0,681228.0,657463.0,0.0,0.0,0.0,0.0
VDR,Games 24x7 -Email,Games 24,930000.0,210000.0,187915.0,174983.0,265662.0,187915.0,174983.0,0.0,0.0,0.0,0.0
VDR,Games 24x7 RC Voice,Games 24,1021536.0,186201.0,193240.0,210986.0,186201.0,193240.0,210986.0,0.0,0.0,0.0,0.0
VDR,Games 24x7 L2 RC Des,Games 24,532500.0,120242.0,120242.0,120242.0,108429.0,127329.0,134156.0,11813.0,0.0,0.0,0.0
VDR,Games24*7 RC Chat,Games 24,310000.0,70000.0,70000.0,70000.0,81124.0,121315.0,106670.0,0.0,0.0,0.0,0.0
VDR,Games24x7 Risk,Games 24,465000.0,105000.0,105000.0,105000.0,110410.0,121304.0,99102.0,0.0,0.0,5898.0,0.0
VDR,Games 24x7 KYC,Games 24,572000.0,129161.0,129161.0,129161.0,134368.0,131769.0,128429.0,0.0,0.0,733.0,0.0
VDR,Games24*7 OB,Games 24,500644.0,91626.0,85838.0,92266.0,91626.0,85838.0,92266.0,0.0,0.0,0.0,0.0
VDR,Zomato DPOB,Zomato,885000.0,199839.0,199839.0,199839.0,199839.0,199839.0,199839.0,0.0,0.0,0.0,0.0
VDR,Vodafone Neo,Vodafone,1079333.0,243720.0,243720.0,243720.0,249197.0,240264.0,253394.0,0.0,3457.0,0.0,0.0
VDR,Fincare OB,Fincare,150000.0,33320.0,33871.0,33871.0,33320.0,34118.0,36813.0,0.0,0.0,0.0,0.0
VDR,You Broadband IB,YOUBB,421710.0,94327.0,95225.0,95225.0,94327.0,100888.0,99484.0,0.0,0.0,0.0,0.0
VDR Total,,,27677475.0,6133146.0,6135557.0,6127670.0,5498937.0,5379355.0,5555802.0,743652.0,883325.0,675763.0,2280839.0
KOL,ICICI DCA,ICICI,175000.0,40385.0,40385.0,40385.0,41782.0,42065.0,41903.0,0.0,0.0,0.0,0.0
KOL,Tata Agrico,Tata,70000.0,16154.0,16154.0,16154.0,19243.0,19338.0,19117.0,0.0,0.0,0.0,0.0
KOL,Boat Email,Boat,980000.0,164033.0,166906.0,193199.0,164033.0,166906.0,193199.0,0.0,0.0,0.0,0.0
KOL,Swiggy IB,Swiggy,2905100.0,655990.0,624542.0,655990.0,676345.0,624542.0,712693.0,0.0,0.0,0.0,0.0
KOL,Swiggy ROC,Swiggy,4044800.0,772143.0,882155.0,999535.0,772143.0,882155.0,999535.0,0.0,0.0,0.0,0.0
KOL,Swiggy OM,Swiggy,4336431.0,979194.0,979194.0,979194.0,1039319.0,841922.0,883451.0,0.0,137272.0,95744.0,172891.0
KOL,Swiggy SNO,Swiggy,1311000.0,296032.0,296032.0,296032.0,296032.0,296032.0,296032.0,0.0,0.0,0.0,0.0
KOL,Swiggy Store Chat,Swiggy,5231014.0,1165036.0,1181197.0,1189277.0,1165036.0,1181197.0,1189277.0,0.0,0.0,0.0,0.0
KOL Total,,,19053344.0,4088967.0,4186563.0,4369765.0,4173933.0,4054156.0,4335206.0,0.0,137272.0,95744.0,172891.0
BLR,Boat CM,Boat,175000.0,39516.0,39516.0,39516.0,46404.0,38489.0,54776.0,0.0,1027.0,0.0,0.0
BLR,Boat IB,Boat,1247400.0,287862.0,287862.0,287862.0,338604.0,303215.0,286454.0,0.0,0.0,1407.0,0.0
BLR,Cloudnine,Cloudnine,510000.0,117692.0,117692.0,117692.0,104775.0,110254.0,98320.0,12917.0,7439.0,19373.0,39729.0
BLR,Urban Piper,Urban Piper,439034.0,101316.0,101316.0,101316.0,101316.0,101316.0,101316.0,0.0,0.0,0.0,0.0
BLR,TVS Mobility,TVS Mobility,210500.0,48577.0,48577.0,48577.0,53196.0,56006.0,54386.0,0.0,0.0,0.0,0.0
BLR,Games 24x7 RC Voice,Games 24,533023.0,110533.0,116403.0,120360.0,110533.0,116403.0,122549.0,0.0,0.0,0.0,0.0
BLR Total,,,3114957.0,705496.0,711365.0,715322.0,754829.0,725682.0,717801.0,12917.0,8466.0,20780.0,39729.0
